index,clean,location_raw,province,location_correct,source
1608,Saint Andre Avellin,Saint-André-Avellin,QC,Saint-André-Avellin,CSD
1609,,Saint-André-d'Argenteuil,QC,Saint-André-d'Argenteuil,Manual
1610,Saint Anicet,Saint-Anicet,QC,Saint-Anicet,CSD
1611,Saint Anselme,Saint-Anselme,QC,Saint-Anselme,CSD
1612,Saint Antoine de l'Isle aux Grues,Saint-Antoine-de-l'Isle-aux-Grues,QC,Saint-Antoine-de-l'Isle-aux-Grues,CSD
1613,Saint Antoine de Tilly,Saint-Antoine-de-Tilly,QC,Saint-Antoine-de-Tilly,CSD
1614,Saint Antoine sur Richelieu,Saint-Antoine-sur-Richelieu,QC,Saint-Antoine-sur-Richelieu,CSD
1615,Saint Antonin,Saint-Antonin,QC,Saint-Antonin,CSD
1616,Saint Apollinaire,Saint-Apollinaire,QC,Saint-Apollinaire,CSD
1617,Saint Armand,Saint-Armand,QC,Saint-Armand,CSD
1618,Saint Arsene,Saint-Arsène,QC,Saint-Arsène,CSD
1619,Saint Athanase,Saint-Athanase,QC,Saint-Athanase,CSD
1620,Saint Aubert,Saint-Aubert,QC,Saint-Aubert,CSD
1621,Saint Augustin,Saint-Augustin,QC,Saint-Augustin,CSD
1622,Saint Augustin de Desmaures,Saint-Augustin-de-Desmaures,QC,Saint-Augustin-de-Desmaures,CSD
1623,Saint Augustin de Woburn,Saint-Augustin-de-Woburn,QC,Saint-Augustin-de-Woburn,CSD
1624,Saint Barnabe Sud,Saint-Barnabé-Sud,QC,Saint-Barnabé-Sud,CSD
1625,,Saint-Barthélemy,QC,Saint-Barthélemy,Manual
1626,Saint Basile,Saint-Basile,QC,Saint-Basile,CSD
1627,Saint Basile le Grand,Saint-Basile-le-Grand,QC,Saint-Basile-le-Grand,CSD
1628,Saint Benjamin,Saint-Benjamin,QC,Saint-Benjamin,CSD
1629,,Saint-Benoît-Labre,QC,Saint-Benoît-Labre,Manual
1630,Saint Bernard,Saint-Bernard,QC,Saint-Bernard,CSD
1631,Saint Bernard de Lacolle,Saint-Bernard-de-Lacolle,QC,Saint-Bernard-de-Lacolle,CSD
1632,Saint Bernard de Michaudville,Saint-Bernard-de-Michaudville,QC,Saint-Bernard-de-Michaudville,CSD
1633,Saint Blaise sur Richelieu,Saint-Blaise-sur-Richelieu,QC,Saint-Blaise-sur-Richelieu,CSD
1634,Saint Bonaventure,Saint-Bonaventure,QC,Saint-Bonaventure,CSD
1635,Saint Boniface,Saint-Boniface,QC,Saint-Boniface,CSD
1636,Saint Bruno,Saint-Bruno,QC,Saint-Bruno,CSD
1637,Saint Bruno de Guigues,Saint-Bruno-de-Guigues,QC,Saint-Bruno-de-Guigues,CSD
1638,Saint Bruno de Montarville,Saint-Bruno-de-Montarville,QC,Saint-Bruno-de-Montarville,CSD
1639,Saint Calixte,Saint-Calixte,QC,Saint-Calixte,CSD
1640,Saint Camille,Saint-Camille,QC,Saint-Camille,CSD
1641,Saint Casimir,Saint-Casimir,QC,Saint-Casimir,CSD
1642,Saint Cesaire,Saint-Césaire,QC,Saint-Césaire,CSD
1643,Saint Charles Borromee,Saint-Charles-Borromée,QC,Saint-Charles-Borromée,CSD
1644,Saint Charles de Bellechasse,Saint-Charles-de-Bellechasse,QC,Saint-Charles-de-Bellechasse,CSD
1645,Saint Charles Garnier,Saint-Charles-Garnier,QC,Saint-Charles-Garnier,CSD
1646,Saint Charles sur Richelieu,Saint-Charles-sur-Richelieu,QC,Saint-Charles-sur-Richelieu,CSD
1647,Saint Christophe d'Arthabaska,Saint-Christophe-d'Arthabaska,QC,Saint-Christophe-d'Arthabaska,CSD
1648,Saint Chrysostome,Saint-Chrysostome,QC,Saint-Chrysostome,CSD
1649,Saint Claude,Saint-Claude,QC,Saint-Claude,CSD
1650,,Saint-Cléophas,QC,Saint-Cléophas,Manual
1651,Saint Clet,Saint-Clet,QC,Saint-Clet,CSD
1652,Saint Colomban,Saint-Colomban,QC,Saint-Colomban,CSD
1653,Saint Come,Saint-Côme,QC,Saint-Côme,CSD
1654,Saint Constant,Saint-Constant,QC,Saint-Constant,CSD
1655,Saint Cuthbert,Saint-Cuthbert,QC,Saint-Cuthbert,CSD
1656,Saint Cyprien,Saint-Cyprien,QC,Saint-Cyprien,CSD
1657,Saint Cyprien de Napierville,Saint-Cyprien-de-Napierville,QC,Saint-Cyprien-de-Napierville,CSD
1658,Saint Cyrille de Lessard,Saint-Cyrille-de-Lessard,QC,Saint-Cyrille-de-Lessard,CSD
1659,Saint Cyrille de Wendover,Saint-Cyrille-de-Wendover,QC,Saint-Cyrille-de-Wendover,CSD
1660,Saint Damase,Saint-Damase,QC,Saint-Damase,CSD
1661,Saint Damien,Saint-Damien,QC,Saint-Damien,CSD
1662,Saint Damien de Buckland,Saint-Damien-de-Buckland,QC,Saint-Damien-de-Buckland,CSD
1663,Saint David,Saint-David,QC,Saint David,CSD
1664,Saint David,Saint-David,QC,Saint-David,CSD
1665,Saint David de Falardeau,Saint-David-de-Falardeau,QC,Saint-David-de-Falardeau,CSD
1666,Saint Denis de Brompton,Saint-Denis-de-Brompton,QC,Saint-Denis-de-Brompton,CSD
1667,Saint Denis sur Richelieu,Saint-Denis-sur-Richelieu,QC,Saint-Denis-sur-Richelieu,CSD
1668,Saint Didace,Saint-Didace,QC,Saint-Didace,CSD
1669,Saint Dominique,Saint-Dominique,QC,Saint-Dominique,CSD
1670,Saint Donat,Saint-Donat,QC,Saint-Donat,CSD
1671,,Sainte Angele de Merici,QC,Sainte-Angèle-de-Mérici,Manual
1672,Sainte Paule,Sainte Paule,QC,Sainte-Paule,Manual
1673,Sainte Rose de Watford,Sainte Rose de Watford,QC,Sainte-Rose-de-Watford,CSD
1674,Sainte Adele,Sainte-Adèle,QC,Sainte-Adèle,CSD
1675,Sainte Agathe de Lotbiniere,Sainte-Agathe-de-Lotbinière,QC,Sainte-Agathe-de-Lotbinière,CSD
1676,Sainte Agathe des Monts,Sainte-Agathe-des-Monts,QC,Sainte-Agathe-des-Monts,CSD
1677,,Sainte-Angèle-de-Mérici,QC,Sainte-Angèle-de-Mérici,Manual
1678,,Sainte-Angèle-de-Monnoir,QC,Sainte-Angèle-de-Monnoir,Manual
1679,Sainte Anne de Bellevue,Sainte-Anne-de-Bellevue,QC,Sainte-Anne-de-Bellevue,CSD
1680,Sainte Anne de la Perade,Sainte-Anne-de-la-Pérade,QC,Sainte-Anne-de-la-Pérade,CSD
1681,Sainte Anne de la Rochelle,Sainte-Anne-de-la-Rochelle,QC,Sainte-Anne-de-la-Rochelle,CSD
1682,Sainte Anne de Sabrevois,Sainte-Anne-de-Sabrevois,QC,Sainte-Anne-de-Sabrevois,CSD
1683,Sainte Anne des Lacs,Sainte-Anne-des-Lacs,QC,Sainte-Anne-des-Lacs,CSD
1684,Sainte Anne des Monts,Sainte-Anne-des-Monts,QC,Sainte-Anne-des-Monts,CSD
1685,Sainte Anne de Sorel,Sainte-Anne-de-Sorel,QC,Sainte-Anne-de-Sorel,CSD
1686,Sainte Anne des Plaines,Sainte-Anne-des-Plaines,QC,Sainte-Anne-des-Plaines,CSD
1687,Sainte Anne du Lac,Sainte-Anne-du-Lac,QC,Sainte-Anne-du-Lac,CSD
1688,Sainte Apolline de Patton,Sainte-Apolline-de-Patton,QC,Sainte-Apolline-de-Patton,CSD
1689,Sainte Aurelie,Sainte-Aurélie,QC,Sainte-Aurélie,CSD
1690,Sainte Barbe,Sainte-Barbe,QC,Sainte-Barbe,CSD
1691,,Sainte-Béatrix,QC,Sainte-Béatrix,Manual
1692,Sainte Brigide d'Iberville,Sainte-Brigide-d'Iberville,QC,Sainte-Brigide-d'Iberville,CSD
1693,Sainte Brigitte de Laval,Sainte-Brigitte-de-Laval,QC,Sainte-Brigitte-de-Laval,CSD
1694,Sainte Brigitte des Saults,Sainte-Brigitte-des-Saults,QC,Sainte-Brigitte-des-Saults,CSD
1695,Sainte Catherine,Sainte-Catherine,QC,Sainte-Catherine,CSD
1696,Sainte Catherine de Hatley,Sainte-Catherine-de-Hatley,QC,Sainte-Catherine-de-Hatley,CSD
1697,Sainte Catherine de la Jacques Cartier,Sainte-Catherine-de-la-Jacques-Cartier,QC,Sainte-Catherine-de-la-Jacques-Cartier,CSD
1698,Sainte Cecile de Milton,Sainte-Cécile-de-Milton,QC,Sainte-Cécile-de-Milton,CSD
1699,Sainte Christine,Sainte-Christine,QC,Sainte-Christine,CSD
1700,Sainte Christine d'Auvergne,Sainte-Christine-d'Auvergne,QC,Sainte-Christine-d'Auvergne,CSD
1701,Sainte Claire,Sainte-Claire,QC,Sainte-Claire,CSD
1702,Sainte Clotilde,Sainte-Clotilde,QC,Sainte-Clotilde,CSD
1703,Sainte Clotilde de Beauce,Sainte-Clotilde-de-Beauce,QC,Sainte-Clotilde-de-Beauce,CSD
1704,Sainte Clotilde de Horton,Sainte-Clotilde-de-Horton,QC,Sainte-Clotilde-de-Horton,CSD
1705,Sainte Croix,Sainte-Croix,QC,Sainte-Croix,CSD
1706,Saint Edmond de Grantham,Saint-Edmond-de-Grantham,QC,Saint-Edmond-de-Grantham,CSD
1707,Saint Edmond les Plaines,Saint-Edmond-les-Plaines,QC,Saint-Edmond-les-Plaines,CSD
1708,,Saint-Édouard,QC,Saint-Édouard,Manual
1709,,Saint-Édouard-de-Lotbinière,QC,Saint-Édouard-de-Lotbinière,Manual
1710,Sainte Edwidge de Clifton,Sainte-Edwidge-de-Clifton,QC,Sainte-Edwidge-de-Clifton,CSD
1711,Sainte elisabeth,Sainte-Élisabeth,QC,Sainte-Élisabeth,CSD
1712,,Sainte-Émélie-de-l'Énergie,QC,Sainte-Émélie-de-l'Énergie,Manual
1713,Sainte Eulalie,Sainte-Eulalie,QC,Sainte-Eulalie,CSD
1714,Sainte Famille,Sainte-Famille,QC,Sainte-Famille,CSD
1715,Sainte Flavie,Sainte-Flavie,QC,Sainte-Flavie,CSD
1716,Sainte Florence,Sainte-Florence,QC,Sainte-Florence,Manual
1717,Sainte Francoise,Sainte-Françoise,QC,Sainte-Françoise,CSD
1718,Sainte Genevieve de Batiscan,Sainte-Geneviève-de-Batiscan,QC,Sainte-Geneviève-de-Batiscan,CSD
1719,Sainte Gertrude Manneville,Sainte-Gertrude-Manneville,QC,Sainte-Gertrude-Manneville,CSD
1720,Sainte Helene de Bagot,Sainte-Hélène-de-Bagot,QC,Sainte-Hélène-de-Bagot,CSD
1721,,Sainte-Hénédine,QC,Sainte-Hénédine,Manual
1722,Sainte Jeanne d'Arc,Sainte-Jeanne-d'Arc,QC,Sainte-Jeanne-d'Arc,CSD
1723,Sainte Julie,Sainte-Julie,QC,Sainte-Julie,CSD
1724,Sainte Julienne,Sainte-Julienne,QC,Sainte-Julienne,CSD
1725,Sainte Justine,Sainte-Justine,QC,Sainte-Justine,CSD
1726,Sainte Justine de Newton,Sainte-Justine-de-Newton,QC,Sainte-Justine-de-Newton,CSD
1727,,Saint-Éloi,QC,Saint-Éloi,Manual
1728,Sainte Louise,Sainte-Louise,QC,Sainte-Louise,CSD
1729,Sainte Luce,Sainte-Luce,QC,Sainte-Luce,CSD
1730,Sainte Lucie de Beauregard,Sainte-Lucie-de-Beauregard,QC,Sainte-Lucie-de-Beauregard,CSD
1731,Sainte Lucie des Laurentides,Sainte-Lucie-des-Laurentides,QC,Sainte-Lucie-des-Laurentides,CSD
1732,Saint Elzear,Saint-Elzéar,QC,Saint-Elzéar,CSD
1733,Sainte Madeleine,Sainte-Madeleine,QC,Sainte-Madeleine,CSD
1734,Sainte Marcelline de Kildare,Sainte-Marcelline-de-Kildare,QC,Sainte-Marcelline-de-Kildare,CSD
1735,Sainte Marguerite,Sainte-Marguerite,QC,Sainte-Marguerite,CSD
1736,Sainte Marguerite du Lac Masson,Sainte-Marguerite-du-Lac-Masson,QC,Sainte-Marguerite-du-Lac-Masson,CSD
1737,Sainte Marie,Sainte-Marie,QC,Sainte-Marie,CSD
1738,Sainte Marie de Blandford,Sainte-Marie-de-Blandford,QC,Sainte-Marie-de-Blandford,CSD
1739,Sainte Marthe,Sainte-Marthe,QC,Sainte-Marthe,CSD
1740,Sainte Marthe sur le Lac,Sainte-Marthe-sur-le-Lac,QC,Sainte-Marthe-sur-le-Lac,CSD
1741,Sainte Martine,Sainte-Martine,QC,Sainte-Martine,CSD
1742,,Sainte-Mélanie,QC,Sainte-Mélanie,Manual
1743,Saint emile de Suffolk,Saint-Émile-de-Suffolk,QC,Saint-Émile-de-Suffolk,CSD
1744,Sainte Monique,Sainte-Monique,QC,Sainte-Monique,CSD
1745,,Sainte-Perpétue,QC,Sainte-Perpétue,Manual
1746,,Sainte-Pétronille,QC,Sainte-Pétronille,Manual
1747,Saint ephrem de Beauce,Saint-Éphrem-de-Beauce,QC,Saint-Éphrem-de-Beauce,CSD
1748,,Saint-Épiphane,QC,Saint-Épiphane,Manual
1749,Sainte Rita,Sainte-Rita,QC,Sainte-Rita,CSD
1750,Sainte Rose de Watford,Sainte-Rose-de-Watford,QC,Sainte-Rose-de-Watford,CSD
1751,Sainte Rose du Nord,Sainte-Rose-du-Nord,QC,Sainte-Rose-du-Nord,CSD
1752,Sainte Sabine,Sainte-Sabine,QC,Sainte-Sabine,CSD
1753,Sainte Sophie,Sainte-Sophie,QC,Sainte-Sophie,CSD
1754,Sainte Sophie de Levrard,Sainte-Sophie-de-Lévrard,QC,Sainte-Sophie-de-Lévrard,CSD
1755,,Sainte-Sophie-d'Halifax,QC,Sainte-Sophie-d'Halifax,Manual
1756,Saint Esprit,Saint-Esprit,QC,Saint-Esprit,CSD
1757,Sainte Thecle,Sainte-Thècle,QC,Sainte-Thècle,CSD
1758,Sainte Therese,Sainte-Thérèse,QC,Sainte-Thérèse,CSD
1759,Saint etienne de Bolton,Saint-Étienne-de-Bolton,QC,Saint-Étienne-de-Bolton,CSD
1760,,Saint-Étienne-des-Grès,QC,Saint-Étienne-des-Grès,Manual
1761,Sainte Ursule,Sainte-Ursule,QC,Sainte-Ursule,CSD
1762,Saint Eustache,Saint-Eustache,QC,Saint-Eustache,CSD
1763,Sainte Victoire de Sorel,Sainte-Victoire-de-Sorel,QC,Sainte-Victoire-de-Sorel,CSD
1764,Saint Fabien,Saint-Fabien,QC,Saint-Fabien,CSD
1765,Saint Fabien de Panet,Saint-Fabien-de-Panet,QC,Saint-Fabien-de-Panet,CSD
1766,Saint Felicien,Saint-Félicien,QC,Saint-Félicien,CSD
1767,Saint Felix de Valois,Saint-Félix-de-Valois,QC,Saint-Félix-de-Valois,CSD
1768,Saint Felix d'Otis,Saint-Félix-d'Otis,QC,Saint-Félix-d'Otis,CSD
1769,Saint Ferdinand,Saint-Ferdinand,QC,Saint-Ferdinand,CSD
1770,,Saint-Ferréol-les-Neiges,QC,Saint-Ferréol-les-Neiges,Manual
1771,Saint Flavien,Saint-Flavien,QC,Saint-Flavien,CSD
1772,Saint Fortunat,Saint-Fortunat,QC,Saint-Fortunat,CSD
1773,Saint Francois de Sales,Saint-François-de-Sales,QC,Saint-François-de-Sales,CSD
1774,Saint Francois du Lac,Saint-François-du-Lac,QC,Saint-François-du-Lac,CSD
1775,Saint Francois Xavier de Brompton,Saint-François-Xavier-de-Brompton,QC,Saint-François-Xavier-de-Brompton,CSD
1776,,Saint-Frédéric,QC,Saint-Frédéric,Manual
1777,Saint Fulgence,Saint-Fulgence,QC,Saint-Fulgence,CSD
1778,Saint Gabriel,Saint-Gabriel,QC,Saint-Gabriel,CSD
1779,Saint Gabriel de Brandon,Saint-Gabriel-de-Brandon,QC,Saint-Gabriel-de-Brandon,CSD
1780,Saint Gabriel de Rimouski,Saint-Gabriel-de-Rimouski,QC,Saint-Gabriel-de-Rimouski,CSD
1781,Saint Gabriel de Valcartier,Saint-Gabriel-de-Valcartier,QC,Saint-Gabriel-de-Valcartier,CSD
1782,Saint Gedeon,Saint-Gédéon,QC,Saint-Gédéon,CSD
1783,,Saint-Gédéon-de-Beauce,QC,Saint-Gédéon-de-Beauce,Manual
1784,Saint Georges,Saint-Georges,QC,Saint-Georges,CSD
1785,Saint Georges de Windsor,Saint-Georges-de-Windsor,QC,Saint-Georges-de-Windsor,CSD
1786,Saint Germain,Saint-Germain,QC,Saint-Germain,CSD
1787,Saint Germain de Grantham,Saint-Germain-de-Grantham,QC,Saint-Germain-de-Grantham,CSD
1788,Saint Gervais,Saint-Gervais,QC,Saint-Gervais,CSD
1789,Saint Gilbert,Saint-Gilbert,QC,Saint-Gilbert,CSD
1790,Saint Gilles,Saint-Gilles,QC,Saint-Gilles,CSD
1791,Saint Godefroi,Saint-Godefroi,QC,Saint-Godefroi,CSD
1792,Saint Guillaume,Saint-Guillaume,QC,Saint-Guillaume,CSD
1793,Saint Henri,Saint-Henri,QC,Saint-Henri,CSD
1794,,Saint-Henri-de-Taillon,QC,Saint-Henri-de-Taillon,Manual
1795,,Saint-Herménégilde,QC,Saint-Herménégilde,Manual
1796,,Saint-Hilaire-de-Dorset,QC,Saint-Hilaire-de-Dorset,Manual
1797,Saint Hilarion,Saint-Hilarion,QC,Saint-Hilarion,CSD
1798,Saint Hippolyte,Saint-Hippolyte,QC,Saint-Hippolyte,CSD
1799,Saint Honore de Shenley,Saint-Honoré-de-Shenley,QC,Saint-Honoré-de-Shenley,CSD
1800,Saint Hubert de Riviere du Loup,Saint-Hubert-de-Rivière-du-Loup,QC,Saint-Hubert-de-Rivière-du-Loup,CSD
1801,Saint Hugues,Saint-Hugues,QC,Saint-Hugues,CSD
1802,Saint Hyacinthe,Saint-Hyacinthe,QC,Saint-Hyacinthe,CSD
1803,Saint Ignace de Loyola,Saint-Ignace-de-Loyola,QC,Saint-Ignace-de-Loyola,CSD
1804,Saint Ignace de Stanbridge,Saint-Ignace-de-Stanbridge,QC,Saint-Ignace-de-Stanbridge,CSD
1805,Saint Isidore,Saint-Isidore,QC,Saint-Isidore,CSD
1806,Saint Isidore de Clifton,Saint-Isidore-de-Clifton,QC,Saint-Isidore-de-Clifton,CSD
1807,Saint Jacques,Saint-Jacques,QC,Saint-Jacques,CSD
1808,Saint Jacques de Leeds,Saint-Jacques-de-Leeds,QC,Saint-Jacques-de-Leeds,CSD
1809,Saint Jacques le Mineur,Saint-Jacques-le-Mineur,QC,Saint-Jacques-le-Mineur,CSD
1810,Saint Janvier de Joly,Saint-Janvier-de-Joly,QC,Saint-Janvier-de-Joly,CSD
1811,Saint Jean Baptiste,Saint-Jean-Baptiste,QC,Saint-Jean-Baptiste,CSD
1812,Saint Jean de Dieu,Saint-Jean-de-Dieu,QC,Saint-Jean-de-Dieu,CSD
1813,Saint Jean de la Lande,Saint-Jean-de-la-Lande,QC,Saint-Jean-de-la-Lande,CSD
1814,Saint Jean de Matha,Saint-Jean-de-Matha,QC,Saint-Jean-de-Matha,CSD
1815,Saint Jean Port Joli,Saint-Jean-Port-Joli,QC,Saint-Jean-Port-Joli,CSD
1816,Saint Jean sur Richelieu,Saint-Jean-sur-Richelieu,QC,Saint-Jean-sur-Richelieu,CSD
1817,Saint Jerome,Saint-Jérôme,QC,Saint-Jérôme,CSD
1818,Saint Joachim,Saint-Joachim,QC,Saint-Joachim,CSD
1819,Saint Joachim de Shefford,Saint-Joachim-de-Shefford,QC,Saint-Joachim-de-Shefford,CSD
1820,Saint Joseph de Beauce,Saint-Joseph-de-Beauce,QC,Saint-Joseph-de-Beauce,CSD
1821,Saint Joseph de Coleraine,Saint-Joseph-de-Coleraine,QC,Saint-Joseph-de-Coleraine,CSD
1822,,Saint-Joseph-de-Kamouraska,QC,Saint-Joseph-de-Kamouraska,Manual
1823,,Saint-Joseph-de-Lepage,QC,Saint-Joseph-de-Lepage,Manual
1824,Saint Joseph de Sorel,Saint-Joseph-de-Sorel,QC,Saint-Joseph-de-Sorel,CSD
1825,Saint Joseph du Lac,Saint-Joseph-du-Lac,QC,Saint-Joseph-du-Lac,CSD
1826,Saint Jude,Saint-Jude,QC,Saint-Jude,CSD
1827,Saint Jules,Saint-Jules,QC,Saint-Jules,CSD
1828,Saint Julien,Saint-Julien,QC,Saint-Julien,CSD
1829,Saint Juste du Lac,Saint-Juste-du-Lac,QC,Saint-Juste-du-Lac,CSD
1830,Saint Justin,Saint-Justin,QC,Saint-Justin,CSD
1831,Saint Lambert,Saint-Lambert,QC,Saint-Lambert,CSD
1832,Saint Lambert de Lauzon,Saint-Lambert-de-Lauzon,QC,Saint-Lambert-de-Lauzon,CSD
1833,Saint Lazare,Saint-Lazare,QC,Saint-Lazare,CSD
1834,Saint Lazare de Bellechasse,Saint-Lazare-de-Bellechasse,QC,Saint-Lazare-de-Bellechasse,CSD
1835,Saint Leonard d'Aston,Saint-Léonard-d'Aston,QC,Saint-Léonard-d'Aston,CSD
1836,Saint Leonard de Portneuf,Saint-Léonard-de-Portneuf,QC,Saint-Léonard-de-Portneuf,CSD
1837,,Saint-Léon-le-Grand,QC,Saint-Léon-le-Grand,Manual
1838,Saint Liboire,Saint-Liboire,QC,Saint-Liboire,CSD
1839,Saint Liguori,Saint-Liguori,QC,Saint-Liguori,CSD
1840,Saint Lin  Laurentides,Saint-Lin--Laurentides,QC,Saint-Lin--Laurentides,CSD
1841,Saint Louis,Saint-Louis,QC,Saint-Louis,CSD
1842,Saint Louis de Blandford,Saint-Louis-de-Blandford,QC,Saint-Louis-de-Blandford,CSD
1843,Saint Louis de Gonzague,Saint-Louis-de-Gonzague,QC,Saint-Louis-de-Gonzague,CSD
1844,,Saint-Luc-de-Bellechasse,QC,Saint-Luc-de-Bellechasse,Manual
1845,Saint Luc de Vincennes,Saint-Luc-de-Vincennes,QC,Saint-Luc-de-Vincennes,CSD
1846,Saint Lucien,Saint-Lucien,QC,Saint-Lucien,CSD
1847,Saint Ludger,Saint-Ludger,QC,Saint-Ludger,CSD
1848,Saint Ludger de Milot,Saint-Ludger-de-Milot,QC,Saint-Ludger-de-Milot,CSD
1849,,Saint-Magloire,QC,Saint-Magloire,Manual
1850,Saint Malachie,Saint-Malachie,QC,Saint-Malachie,CSD
1851,Saint Malo,Saint-Malo,QC,Saint-Malo,CSD
1852,Saint Marc de Figuery,Saint-Marc-de-Figuery,QC,Saint-Marc-de-Figuery,CSD
1853,Saint Marc des Carrieres,Saint-Marc-des-Carrières,QC,Saint-Marc-des-Carrières,CSD
1854,Saint Marc du Lac Long,Saint-Marc-du-Lac-Long,QC,Saint-Marc-du-Lac-Long,CSD
1855,Saint Marcel,Saint-Marcel,QC,Saint-Marcel,CSD
1856,Saint Marcel de Richelieu,Saint-Marcel-de-Richelieu,QC,Saint-Marcel-de-Richelieu,CSD
1857,,Saint-Marcellin,QC,Saint-Marcellin,Manual
1858,Saint Marc sur Richelieu,Saint-Marc-sur-Richelieu,QC,Saint-Marc-sur-Richelieu,CSD
1859,Saint Martin,Saint-Martin,QC,Saint-Martin,CSD
1860,Saint Mathias sur Richelieu,Saint-Mathias-sur-Richelieu,QC,Saint-Mathias-sur-Richelieu,CSD
1861,Saint Mathieu,Saint-Mathieu,QC,Saint-Mathieu,CSD
1862,Saint Mathieu de Beloeil,Saint-Mathieu-de-Beloeil,QC,Saint-Mathieu-de-Beloeil,CSD
1863,Saint Mathieu de Rioux,Saint-Mathieu-de-Rioux,QC,Saint-Mathieu-de-Rioux,CSD
1864,,Saint-Mathieu-d'Harricana,QC,Saint-Mathieu-d'Harricana,Manual
1865,Saint Mathieu du Parc,Saint-Mathieu-du-Parc,QC,Saint-Mathieu-du-Parc,CSD
1866,Saint Maurice,Saint-Maurice,QC,Saint-Maurice,CSD
1867,Saint Michel,Saint-Michel,QC,Saint-Michel,CSD
1868,Saint Michel de Bellechasse,Saint-Michel-de-Bellechasse,QC,Saint-Michel-de-Bellechasse,CSD
1869,Saint Michel des Saints,Saint-Michel-des-Saints,QC,Saint-Michel-des-Saints,CSD
1870,Saint Michel du Squatec,Saint-Michel-du-Squatec,QC,Saint-Michel-du-Squatec,CSD
1871,Saint Modeste,Saint-Modeste,QC,Saint-Modeste,CSD
1872,Saint Narcisse,Saint-Narcisse,QC,Saint-Narcisse,CSD
1873,Saint Narcisse de Beaurivage,Saint-Narcisse-de-Beaurivage,QC,Saint-Narcisse-de-Beaurivage,CSD
1874,Saint Narcisse de Rimouski,Saint-Narcisse-de-Rimouski,QC,Saint-Narcisse-de-Rimouski,CSD
1875,Saint Nazaire,Saint-Nazaire,QC,Saint-Nazaire,CSD
1876,Saint Nazaire d'Acton,Saint-Nazaire-d'Acton,QC,Saint-Nazaire-d'Acton,CSD
1877,,Saint-Noël,QC,Saint-Noël,Manual
1878,Saint Norbert,Saint-Norbert,QC,Saint-Norbert,CSD
1879,Saint Norbert d'Arthabaska,Saint-Norbert-d'Arthabaska,QC,Saint-Norbert-d'Arthabaska,CSD
1880,,Saint-Odilon-de-Cranbourne,QC,Saint-Odilon-de-Cranbourne,Manual
1881,Saint Omer,Saint-Omer,QC,Saint-Omer,CSD
1882,Saint Ours,Saint-Ours,QC,Saint-Ours,CSD
1883,,Saint-Pacôme,QC,Saint-Pacôme,Manual
1884,Saint Pamphile,Saint-Pamphile,QC,Saint-Pamphile,CSD
1885,Saint Pascal,Saint-Pascal,QC,Saint-Pascal,CSD
1886,Saint Patrice de Beaurivage,Saint-Patrice-de-Beaurivage,QC,Saint-Patrice-de-Beaurivage,CSD
1887,Saint Patrice de Sherrington,Saint-Patrice-de-Sherrington,QC,Saint-Patrice-de-Sherrington,CSD
1888,Saint Paul,Saint-Paul,QC,Saint-Paul,CSD
1889,Saint Paul d'Abbotsford,Saint-Paul-d'Abbotsford,QC,Saint-Paul-d'Abbotsford,CSD
1890,Saint Paul de la Croix,Saint-Paul-de-la-Croix,QC,Saint-Paul-de-la-Croix,CSD
1891,Saint Paul de Montminy,Saint-Paul-de-Montminy,QC,Saint-Paul-de-Montminy,CSD
1892,Saint Paulin,Saint-Paulin,QC,Saint-Paulin,CSD
1893,,Saint-Philémon,QC,Saint-Philémon,Manual
1894,Saint Philibert,Saint-Philibert,QC,Saint-Philibert,CSD
1895,Saint Philippe,Saint-Philippe,QC,Saint-Philippe,CSD
1896,,Saint-Philippe-de-Néri,QC,Saint-Philippe-de-Néri,Manual
1897,Saint Pie,Saint-Pie,QC,Saint-Pie,CSD
1898,Saint Pie de Guire,Saint-Pie-de-Guire,QC,Saint-Pie-de-Guire,CSD
1899,Saint Pierre,Saint-Pierre,QC,Saint-Pierre,CSD
1900,Saint Pierre Baptiste,Saint-Pierre-Baptiste,QC,Saint-Pierre-Baptiste,CSD
1901,Saint Pierre de Broughton,Saint-Pierre-de-Broughton,QC,Saint-Pierre-de-Broughton,Manual
1902,Saint Pierre de Lamy,Saint-Pierre-de-Lamy,QC,Saint-Pierre-de-Lamy,CSD
1903,Saint Pierre les Becquets,Saint-Pierre-les-Becquets,QC,Saint-Pierre-les-Becquets,CSD
1904,Saint Placide,Saint-Placide,QC,Saint-Placide,CSD
1905,Saint Polycarpe,Saint-Polycarpe,QC,Saint-Polycarpe,CSD
1906,Saint Prime,Saint-Prime,QC,Saint-Prime,CSD
1907,Saint Prosper,Saint-Prosper,QC,Saint-Prosper,CSD
1908,Saint Prosper de Champlain,Saint-Prosper-de-Champlain,QC,Saint-Prosper-de-Champlain,Manual
1909,Saint Raphael,Saint-Raphaël,QC,Saint-Raphaël,CSD
1910,Saint Raymond,Saint-Raymond,QC,Saint-Raymond,CSD
1911,Saint Remi,Saint-Rémi,QC,Saint-Rémi,CSD
1912,,Saint-René-de-Matane,QC,Saint-René-de-Matane,Manual
1913,Saint Robert,Saint-Robert,QC,Saint-Robert,CSD
1914,Saint Robert Bellarmin,Saint-Robert-Bellarmin,QC,Saint-Robert-Bellarmin,CSD
