items,item_type,esdc_domain,edit_type,edit_reason,LMIC_Label,March_4_add,edit_type_software
3D Design,Knowledge,Knowledge,Knowledge,,3D Design,0,Knowledge
3D graphics software,Tools and technology,Tools and technology,Tools and technology,,3D graphics software,0,Tech - Software
3D modelling,Other,Work activities,Tools and technology,,3D modelling,0,Tech - Software
3D Printing,Other,Work activities,Tools and technology,,3D Printing,0,Tech - Software
3D Scanning,Other,Work activities,Tools and technology,,3D Scanning,0,Tech - Software
3M Encoder,Tools and technology,Tools and technology,Tools and technology,,3M Encoder,0,Tech - Software
3PL Central,Tools and technology,Tools and technology,Tools and technology,,3PL Central,0,Tech - Software
5S Methodology,Knowledge,Knowledge,Knowledge,,5S Methodology,0,Tech - Software
Ab Initio,Tools and technology,Tools and technology,Tools and technology,,Ab Initio,0,Tech - Software
Abbot,Other,?,Tools and technology,,Abbot Informatics,0,Tech - Software
Ability to Learn,Skills,Skills,Skills,,Ability to Learn,0,Skills
Accelerometers,Tools and technology,Tools and technology,Tools and technology,,Accelerometers,0,Tools and technology
Acceptance Test Procedures,Other,?,Knowledge,Used in the design and testing of software,Acceptance Test Procedures,0,Knowledge
Access control systems,Tools and technology,Tools and technology,Tools and technology,,Access control systems,0,Tools and technology
Access management software,Tools and technology,Tools and technology,Tools and technology,,Access management software,0,Tech - Software
Access servers,Tools and Equipment,,Tools and technology,,Access servers,1,Tech - Software
Account management software,Tools and technology,Tools and technology,Tools and technology,,Account management software,0,Tech - Software
Accounting,Other,Work activities,Knowledge,,Accounting,0,Knowledge
Accounting software,Tools and technology,Tools and technology,Tools and technology,,Accounting software,0,Tech - Software
Accounts payable software,Tools and technology,Tools and technology,Tools and technology,,Accounts payable software,0,Tech - Software
ACE Dental,Other,Work context,Remove,Name of a dentist chain,,0,Remove
ACL Analytics,Tools and technology,Tools and technology,Tools and technology,,ACL Analytics,0,Tech - Software
Acoustic guitars,Tools and technology,Tools and technology,Tools and technology,,Acoustic guitars,0,Tools and technology
ActionScript,Tools and technology,Tools and technology,Tools and technology,,ActionScript,0,Tech - Software
Acumatica,Tools and technology,Tools and technology,Tools and technology,,Acumatica,0,Tech - Software
Ada,Other,?,Tools and technology,programming language,Ada,0,Tech - Software
Adaptive Planning,Skills,Skills,Skills,,Adaptive Planning,0,Skills
"Admissions, discharge, and transfer ADT software",Tools and technology,Tools and technology,Tools and technology,,"Admissions, discharge, and transfer ADT software",0,Tech - Software
Adobe Systems Adobe Acrobat,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Acrobat,0,Tech - Software
Adobe Systems Adobe After Effects,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe After Effects,0,Tech - Software
Adobe Systems Adobe Audition,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Audition,0,Tech - Software
Adobe Systems Adobe Captivate,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Captivate,0,Tech - Software
Adobe Systems Adobe ColdFusion,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe ColdFusion,0,Tech - Software
Adobe Systems Adobe Connect,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Connect,0,Tech - Software
Adobe Systems Adobe Contribute,Tools and technology,Tools and technology,Tools and technology,This is a discontinued product,Adobe Systems Adobe Contribute,0,Tech - Software
Adobe Systems Adobe Creative Cloud,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Creative Cloud,0,Tech - Software
Adobe Systems Adobe Creative Suite,Tools and technology,Tools and technology,Tools and technology,This is a discontinued product,Adobe Systems Adobe Creative Suite,0,Tech - Software
Adobe Systems Adobe Dreamweaver,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Dreamweaver,0,Tech - Software
Adobe Systems Adobe Flex,Tools and technology,Tools and technology,Tools and technology,Developed by Adobe but now licensed by Apache -- Apache Flex,Apache Flex,0,Tech - Software
Adobe Systems Adobe FrameMaker,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe FrameMaker,0,Tech - Software
Adobe Systems Adobe FreeHand,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe FreeHand,0,Tech - Software
Adobe Systems Adobe Illustrator,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Illustrator,0,Tech - Software
Adobe Systems Adobe InDesign,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe InDesign,0,Tech - Software
Adobe Systems Adobe Photoshop,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Photoshop,0,Tech - Software
Adobe Systems Adobe Photoshop Lightroom,Tools and technology,Tools and technology,Tools and technology,,Adobe Lightroom,0,Tech - Software
Adobe Systems Adobe Premiere Pro,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Premiere Pro,0,Tech - Software
Adobe Systems Adobe Reader,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Acrobat,0,Tech - Software
Adobe Systems Adobe RoboHelp,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe RoboHelp,0,Tech - Software
Adobe Systems Adobe Writer,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Acrobat,0,Tech - Software
ADP software,Tools and technology,Tools and technology,Tools and technology,,Automatic Data Processing ADP software,0,Tech - Software
Adult Literature,Knowledge,added,Knowledge,,Adult Literature,0,Knowledge
Advanced business application programming ABAP,Tools and technology,Tools and technology,Tools and technology,,Advanced business application programming ABAP,0,Tech - Software
Advanced product quality planning (APQP),Knowledge,Knowledge,Knowledge,,Advanced product quality planning (APQP),0,Knowledge
Advocacy Skills,Skills,Skills,Skills,,Advocacy Skills,0,Skills
Aerators,Tools and technology,Tools and technology,Tools and technology,,Aerators,0,Tools and technology
Aerial bucket trucks,Tools and technology,Tools and technology,Tools and technology,,Bucket trucks,0,Tools and technology
Aerial lift trucks,Tools and technology,Tools and technology,Tools and technology,,Bucket trucks,0,Tools and technology
Aerial lifts,Tools and technology,Tools and technology,Tools and technology,,Boom lift,0,Tools and technology
Agar plates,Tools and technology,Tools and technology,Tools and technology,,Agar plates,0,Tools and technology
Agile Software Development,Knowledge,Knowledge,Knowledge,,Agile Software Development,0,Knowledge
Air brake hoses,Tools and technology,Tools and technology,Tools and technology,,Air brake hoses,0,Tools and technology
Air compressors,Tools and technology,Tools and technology,Tools and technology,,Air compressors,0,Tools and technology
Air conditioning systems,Tools and technology,Tools and technology,Tools and technology,,Air conditioning systems,0,Tools and technology
Air conditioning units,Tools and technology,Tools and technology,Tools and technology,,Air conditioning units,0,Tools and technology
Air grinders,Tools and technology,Tools and technology,Tools and technology,,Air grinders,0,Tools and technology
Air guns,Tools and technology,Tools and technology,Tools and technology,,Air guns,0,Tools and technology
Air monitoring equipment,Tools and technology,Tools and technology,Tools and technology,,Air monitoring equipment,0,Tools and technology
Air scrubbers,Tools and technology,Tools and technology,Tools and technology,,Air scrubbers,0,Tools and technology
Air tanks,Tools and technology,Tools and technology,Tools and technology,,Air tanks,0,Tools and technology
Airless spray equipment,Tools and technology,Tools and technology,Tools and technology,,Airless spray equipment,0,Tools and technology
Airline global distribution systems GDS software,Tools and technology,Tools and technology,Tools and technology,,Airline global distribution systems GDS software,0,Tech - Software
Airport surveillance radar ASR systems,Tools and technology,Tools and technology,Tools and technology,,Airport surveillance radar ASR systems,0,Tech - Software
AJAX,Tools and technology,Tools and technology,Knowledge,This is a set of a method that combines different technologies to build websites,AJAX,0,Knowledge
Alarm systems,Tools and technology,Tools and technology,Tools and technology,,Alarm systems,0,Tools and technology
Aligners,Tools and technology,Tools and technology,Tools and technology,,Aligners,0,Tools and technology
Alignment tools,Tools and technology,Tools and technology,Tools and technology,,Alignment tools,0,Tools and technology
All terrain vehicles ATV,Tools and technology,Tools and technology,Tools and technology,,All terrain vehicles ATV,0,Tools and technology
Allscripts,Other,Work context,Tools and technology,Type of management practice and electronic records software used in hospitals,Allscripts,0,Tech - Software
Altium Designer,Tools and technology,Tools and technology,Tools and technology,,Altium Designer,0,Tech - Software
Aluminum ladders,Tools and technology,Tools and technology,Tools and technology,,Aluminum ladders,0,Tools and technology
Amazon Data Pipeline,Tools and technology,Tools and technology,Tools and technology,,Amazon Data Pipeline,0,Tech - Software
Amazon DynamoDB,Tools and technology,Tools and technology,Tools and technology,,Amazon DynamoDB,0,Tech - Software
Amazon Kinesis,Tools and technology,Tools and technology,Tools and technology,,Amazon Kinesis,0,Tech - Software
Amazon Web Services (AWS),Tools and technology,Tools and technology,Tools and technology,,Amazon Web Services (AWS),0,Tech - Software
American Sign Language (ASL),Knowledge,Knowledge,Knowledge,,American Sign Language (ASL),0,Knowledge
Ammeters,Tools and technology,Tools and technology,Tools and technology,,Ammeters,0,Tools and technology
AMPL (A mathematical programming language),Technologies,,Tools and technology,,AMPL (A mathematical programming language),1,Tech - Software
Analytical balances,Tools and technology,Tools and technology,Tools and technology,,Analytical balances,0,Tools and technology
Analytical Skills,Skills,Skills,Skills,,Analytical Skills,0,Skills
Analytical software,Tools and technology,Tools and technology,Tools and technology,,Analytical software,0,Tech - Software
Analyz,Tools and technology,Tools and technology,Tools and technology,,Analyz,0,Tech - Software
Android,Tools and technology,Tools and technology,Tools and technology,,Android,0,Tech - Software
Anesthesia machines,Tools and technology,Tools and technology,Tools and technology,,Anesthesia machines,0,Tools and technology
Angle finders,Tools and technology,Tools and technology,Tools and technology,,Angle finders,0,Tools and technology
AngularJS,Tools and technology,Tools and technology,Tools and technology,,AngularJS,0,Tech - Software
Animal traps,Tools and technology,Tools and technology,Tools and technology,,Animal traps,0,Tools and technology
Animation software,Tools and technology,Tools and technology,Tools and technology,,Animation software,0,Tech - Software
ANSYS,Tools and technology,Tools and technology,Tools and technology,,ANSYS,0,Tech - Software
ANSYS FLUENT,Technologies,,Tools and technology,,Ansys Fluent,1,Tech - Software
Antivirus software,Tools and technology,Tools and technology,Tools and technology,,Antivirus software,0,Tech - Software
Apache Ant,Tools and technology,Tools and technology,Tools and technology,,Apache Ant,0,Tech - Software
Apache Avro,Tools and technology,Tools and technology,Tools and technology,,Apache Avro,0,Tech - Software
Apache Cassandra,Tools and technology,Tools and technology,Tools and technology,,Apache Cassandra,0,Tech - Software
Apache Hadoop,Tools and technology,Tools and technology,Tools and technology,,Apache Hadoop,0,Tech - Software
Apache Hbase,Tools and technology,Tools and technology,Tools and technology,,Apache Hbase,0,Tech - Software
Apache Hive,Tools and technology,Tools and technology,Tools and technology,,Apache Hive,0,Tech - Software
Apache HTTP Server,Tools and technology,Tools and technology,Tools and technology,,Apache HTTP Server,0,Tech - Software
Apache MapReduce,Tools and technology,Tools and technology,Tools and technology,Not on the list,Apache Hadoop,0,Tech - Software
Apache Maven,Tools and technology,Tools and technology,Tools and technology,,Apache Maven,0,Tech - Software
Apache Oozie,Tools and technology,Tools and technology,Tools and technology,,Apache Oozie,0,Tech - Software
Apache Pig,Tools and technology,Tools and technology,Tools and technology,,Apache Pig,0,Tech - Software
Apache Solr,Tools and technology,Tools and technology,Tools and technology,,Apache Solr,0,Tech - Software
Apache Spark,Tools and technology,Tools and technology,Tools and technology,,Apache Spark,0,Tech - Software
Apache Sqoop,Tools and technology,Tools and technology,Tools and technology,,Apache Sqoop,0,Tech - Software
Apache Struts,Tools and technology,Tools and technology,Tools and technology,,Apache Struts,0,Tech - Software
Apache Subversion,Tools and technology,Tools and technology,Tools and technology,,Apache Subversion,0,Tech - Software
Apache Tomcat,Tools and technology,Tools and technology,Tools and technology,,Apache Tomcat,0,Tech - Software
Apache Webserver,Tools and technology,Tools and technology,Tools and technology,General,Apache Webserver,0,Tech - Software
APL (A programming language),Knowledge,Knowledge,Tools and technology,,APL (A programming language),0,Tech - Software
Apple iWork,Tools and technology,Tools and technology,Tools and technology,,Apple iWork,0,Tech - Software
Apple Mac OS X,Tools and technology,Tools and technology,Tools and technology,,Apple Mac OS X,0,Tech - Software
Applicant tracking software,Tools and technology,Tools and technology,Tools and technology,,Applicant tracking software,0,Tech - Software
Application servers,Tools and technology,Tools and technology,Tools and technology,,Application servers,0,Tech - Software
Appointment scheduling software,Tools and technology,Tools and technology,Tools and technology,,Appointment scheduling software,0,Tech - Software
Appraisal software,Tools and technology,Tools and technology,Tools and technology,,Appraisal software,0,Tech - Software
Arabic language,Knowledge,Knowledge,Knowledge,,Arabic language,0,Knowledge
Arbors,Tools and technology,Tools and technology,Tools and technology,,Arbors,0,Tools and technology
Arc welding equipment,Tools and technology,Tools and technology,Tools and technology,,Arc welding equipment,0,Tools and technology
Archon,Tools and technology,Tools and technology,Tools and technology,Should a web-extender be software?,ARChon,0,Tech - Software
Arrow boards,Tools and Equipment,,Tools and technology,,Arrow boards,1,Tools and technology
Articulate Storyline,Other,?,Tools and technology,,Articulate Storyline,0,Tech - Software
Artificial Intelligence (AI),Other,?,Knowledge,,Artificial Intelligence (AI),0,Knowledge
ASIC (Application-specific integrated circuit),Tools and technology,Tools and technology,Tools and technology,,ASIC (Application-specific integrated circuit),0,Tools and technology
ASPEN PLUS,Tools and technology,Tools and technology,Tools and technology,,Aspen Plus,0,Tech - Software
Asphalt pavers,Tools and Equipment,,Tools and technology,,Asphalt pavers,1,Tools and technology
Assessment software,Tools and technology,Tools and technology,Tools and technology,,Assessment software,0,Tech - Software
Asset management software,Tools and technology,Tools and technology,Tools and technology,,Asset management software,0,Tech - Software
Atlassian Bamboo,Tools and technology,Tools and technology,Tools and technology,,Atlassian Bamboo,0,Tech - Software
Atlassian Confluence,Tools and technology,Tools and technology,Tools and technology,,Atlassian Confluence,0,Tech - Software
Atlassian JIRA,Tools and technology,Tools and technology,Tools and technology,,Atlassian JIRA,0,Tech - Software
Attention to Detail,Other,Personal abilities and attributes,Other,,Attention to Detail,0,Other
Audacity,Tools and technology,Tools and technology,Tools and technology,,Audacity,0,Tech - Software
AudienceView Ticketing,Tools and technology,Tools and technology,Tools and technology,,AudienceView Ticketing,0,Tech - Software
Audio editing software,Tools and technology,Tools and technology,Tools and technology,,Audio editing software,0,Tech - Software
Audio recorders,Tools and Equipment,,Tools and technology,,Audio recorders,1,Tools and technology
Audiometers,Tools and technology,Tools and technology,Tools and technology,,Audiometers,0,Tools and technology
Audit management software,Tools and technology,Tools and technology,Tools and technology,,Audit management software,0,Tech - Software
Auditing,Other,Work activities,Knowledge,,Auditing,0,Knowledge
Auditing software,Tools and technology,Tools and technology,Tools and technology,,Auditing software,0,Tech - Software
Augers,Tools and technology,Tools and technology,Tools and technology,,Augers,0,Tools and technology
Augmentative communication systems,Tools and technology,Tools and technology,Tools and technology,,Augmentative communication systems,0,Tools and technology
Auto scrubbers,Tools and technology,Tools and technology,Tools and technology,,Auto scrubbers,0,Tools and technology
Autoclaves,Tools and technology,Tools and technology,Tools and technology,,Autoclaves,0,Tools and technology
Autodesk 3ds Max,Tools and technology,Tools and technology,Tools and technology,,Autodesk 3ds Max,0,Tech - Software
Autodesk Architectural Desktop,Tools and technology,Tools and technology,Tools and technology,,AutoCAD Architecture,0,Tech - Software
Autodesk AutoCAD,Tools and technology,Tools and technology,Tools and technology,,Autodesk AutoCAD,0,Tech - Software
Autodesk AutoCAD Civil 3D,Tools and technology,Tools and technology,Tools and technology,,Autodesk AutoCAD,0,Tech - Software
Autodesk AutoCAD LT,Tools and technology,Tools and technology,Tools and technology,,Autodesk AutoCAD,0,Tech - Software
Autodesk AutoCAD MAP3D,Tools and technology,Tools and technology,Tools and technology,,Autodesk AutoCAD,0,Tech - Software
Autodesk AutoCAD Mechanical,Tools and technology,Tools and technology,Tools and technology,,Autodesk AutoCAD,0,Tech - Software
Autodesk Combustion,Tools and technology,Tools and technology,Tools and technology,Hasn't been released since 2008,Autodesk Combustion,0,Tech - Software
Autodesk Inventor,Tools and technology,Tools and technology,Tools and technology,,Autodesk Inventor,0,Tech - Software
Autodesk Land Desktop,Tools and technology,Tools and technology,Tools and technology,Discontinued in 2009,Autodesk Land Desktop,0,Tech - Software
Autodesk Maya,Tools and technology,Tools and technology,Tools and technology,,Autodesk Maya,0,Tech - Software
Autodesk MotionBuilder,Tools and technology,Tools and technology,Tools and technology,,Autodesk MotionBuilder,0,Tech - Software
Autodesk Mudbox,Tools and technology,Tools and technology,Tools and technology,,Autodesk Mudbox,0,Tech - Software
Autodesk Revit,Tools and technology,Tools and technology,Tools and technology,,Autodesk Revit,0,Tech - Software
Autodesk Revit Architecture,Tools and technology,Tools and technology,Tools and technology,,Autodesk Revit,0,Tech - Software
Autodesk SoftImage,Tools and technology,Tools and technology,Tools and technology,Discontinued in 2015,Autodesk Softimage,0,Tech - Software
Autodesk Topobase,Technologies,,Tools and technology,,Autodesk Topobase,1,Tech - Software
Autodesk VIZ,Tools and technology,Tools and technology,Tools and technology,Discontinued,Autodesk VIZ,0,Tech - Software
Automated circulation systems,Tools and technology,Tools and technology,Tools and technology,,Automated circulation systems,0,Tech - Software
Automatic lathes,Tools and technology,Tools and technology,Tools and technology,,Automatic lathes,0,Tools and technology
Automation Studio,Tools and technology,Tools and technology,Tools and technology,,Automation Studio,0,Tech - Software
Autotask,Tools and technology,Tools and technology,Tools and technology,,Autotask,0,Tech - Software
Avid Media Composer,Tools and technology,Tools and technology,Tools and technology,,Avid Media Composer,0,Tech - Software
AWK,Tools and technology,Tools and technology,Tools and technology,,AWK,0,Tech - Software
Aztec,Tools and technology,Tools and technology,Tools and technology,,Aztec,0,Tech - Software
Backhoes,Tools and technology,Tools and technology,Tools and technology,,Backhoes,0,Tools and technology
Backpack vacuums,Tools and technology,Tools and technology,Tools and technology,,Backpack vacuums,0,Tools and technology
Backup servers,Tools and technology,Tools and technology,Tools and technology,,Backup servers,0,Tools and technology
Baking equipment,Tools and technology,Tools and technology,Tools and technology,,Baking equipment,0,Tools and technology
Ball valves,Tools and technology,Tools and technology,Tools and technology,,Ball valves,0,Tools and technology
Band saws,Tools and technology,Tools and technology,Tools and technology,,Band saws,0,Tools and technology
Banding machines,Tools and technology,Tools and technology,Tools and technology,,Banding machines,0,Tools and technology
Barcode printers,Tools and technology,Tools and technology,Tools and technology,,Barcode printers,0,Tools and technology
Bass drums,Tools and technology,Tools and technology,Tools and technology,,Bass drums,0,Tools and technology
Battery chargers,Tools and technology,Tools and technology,Tools and technology,,Battery chargers,0,Tools and technology
Beakers,Tools and technology,Tools and technology,Tools and technology,,Beakers,0,Tools and technology
Bed cradles,Tools and technology,Tools and technology,Tools and technology,,Bed cradles,0,Tools and technology
Behavior-Driven Development (BDD),Knowledge,Knowledge,Knowledge,,Behavior-Driven Development (BDD),0,Knowledge
Belt loaders,Tools and technology,Tools and technology,Tools and technology,,Belt loaders,0,Tools and technology
Bench grinders,Tools and technology,Tools and technology,Tools and technology,,Bench grinders,0,Tools and technology
Bentley AutoPLANT,Tools and technology,Tools and technology,Tools and technology,,Bentley AutoPLANT,0,Tech - Software
Bentley InRoads Suite,Tools and technology,Tools and technology,Tools and technology,,Bentley InRoads Suite,0,Tech - Software
Bentley MicroStation,Tools and technology,Tools and technology,Tools and technology,,Bentley MicroStation,0,Tech - Software
Bentley Navigator,Tools and technology,Tools and technology,Tools and technology,,Bentley Navigator,0,Tech - Software
Bentley ProjectWise,Tools and technology,Tools and technology,Tools and technology,,Bentley ProjectWise,0,Tech - Software
Beveling machines,Tools and technology,Tools and technology,Tools and technology,,Beveling machines,0,Tools and technology
Beverage machines,Tools and Equipment,,Tools and technology,,Beverage machines,1,Tools and technology
Big Data,Other,?,Knowledge,,Big Data,0,Knowledge
Bilingual,Knowledge,Knowledge,Knowledge,,Bilingual,0,Knowledge
Billing software,Tools and technology,Tools and technology,Tools and technology,,Billing software,0,Tech - Software
Binding machines,Tools and technology,Tools and technology,Tools and technology,,Binding machines,0,Tools and technology
Binoculars,Tools and technology,Tools and technology,Tools and technology,,Binoculars,0,Tools and technology
Bioconductor,Tools and technology,Tools and technology,Tools and technology,,Bioconductor,0,Tools and technology
Bite blocks,Tools and technology,Tools and technology,Tools and technology,,Bite blocks,0,Tools and technology
Bitts,Tools and technology,Tools and technology,Tools and technology,,Bitts,0,Tools and technology
Blackbaud CRM,Tools and technology,Tools and technology,Tools and technology,,Blackbaud CRM,0,Tech - Software
BlackBerry Enterprise Server,Tools and technology,Tools and technology,Tools and technology,,BlackBerry Enterprise Server,0,Tech - Software
Blackboard,Tools and technology,Tools and technology,Tools and technology,,Blackboard,0,Tech - Software
Blackboard Collaborate,Tools and technology,Tools and technology,Tools and technology,,Blackboard Collaborate,0,Tech - Software
Blackboard Learn,Tools and technology,Tools and technology,Tools and technology,,Blackboard Learn,0,Tech - Software
Blast freezers,Tools and technology,Tools and technology,Tools and technology,,Blast freezers,0,Tools and technology
Blocks and tackle,Tools and Equipment,,Tools and technology,,Blocks and tackle,1,Tools and technology
Blogger,Other,?,Knowledge,similar to writing,Blogger,0,Knowledge
Blogging software,Tools and technology,Tools and technology,Tools and technology,,Blogging software,0,Tech - Software
Blood gas machines,Tools and Equipment,,Tools and technology,,Blood gas machines,1,Tools and technology
Blow molding machines,Tools and technology,Tools and technology,Tools and technology,,Blow molding machines,0,Tools and technology
Blueprint Reading,Other,Work activities,Knowledge,,Blueprint Reading,0,Skills
BMC PATROL,Tools and technology,Tools and technology,Tools and technology,,BMC PATROL,0,Tech - Software
Boat trailers,Tools and technology,Tools and technology,Tools and technology,,Boat trailers,0,Tools and technology
Bobbins,Tools and technology,Tools and technology,Tools and technology,,Bobbins,0,Tools and technology
Bobcats,Tools and technology,Tools and technology,Tools and technology,,Bobcats,0,Tools and technology
Boilers,Tools and technology,Tools and technology,Tools and technology,,Boilers,0,Tools and technology
Bolsters,Tools and technology,Tools and technology,Tools and technology,,Bolsters,0,Tools and technology
Bookkeeping software,Tools and technology,Tools and technology,Tools and technology,,Bookkeeping software,0,Tech - Software
Boom lifts,Tools and technology,Tools and technology,Tools and technology,,Boom lifts,0,Tools and technology
Boom trucks,Tools and technology,Tools and technology,Tools and technology,,Boom trucks,0,Tools and technology
Bore gauges,Tools and technology,Tools and technology,Tools and technology,,Bore gauges,0,Tools and technology
Boring machines,Tools and technology,Tools and technology,Tools and technology,,Boring machines,0,Tools and technology
Boring mills,Tools and technology,Tools and technology,Tools and technology,,Boring mills,0,Tools and technology
Bourne Shell,Tools and technology,Tools and technology,Tools and technology,,Bourne Shell,0,Tools and technology
Bowtie,Tools and technology,Tools and technology,Tools and technology,,Bow Tie,0,Tech - Software
Bracing equipment,Tools and technology,Tools and technology,Tools and technology,,Bracing equipment,0,Tools and technology
Brainworks,Tools and technology,Tools and technology,Tools and technology,,Brainworks,0,Tech - Software
Brake presses,Tools and technology,Tools and technology,Tools and technology,,Brake presses,0,Tools and technology
Brazers,Tools and technology,Tools and technology,Tools and technology,,Brazing equipment,0,Tools and technology
Brazing equipment,Tools and technology,Tools and technology,Tools and technology,,Brazing equipment,0,Tools and technology
Bread slicers,Tools and technology,Tools and technology,Tools and technology,,Bread slicers,0,Tools and technology
Breast pumps,Tools and technology,Tools and technology,Tools and technology,,Breast pumps,0,Tools and technology
Breath alcohol testers,Tools and technology,Tools and technology,Tools and technology,,Breath alcohol testers,0,Tools and technology
Bridge cranes,Tools and technology,Tools and technology,Tools and technology,,Bridge cranes,0,Tools and technology
Bridge plates,Tools and technology,Tools and technology,Tools and technology,,Bridge plates,0,Tools and technology
Brightcove,Tools and technology,Tools and technology,Tools and technology,,Brightcove,0,Tech - Software
BrightEdge,Tools and technology,Tools and technology,Tools and technology,,BrightEdge,0,Tech - Software
Brokerage software,Technologies,,Tools and technology,,Brokerage software,1,Tech - Software
Bronchoscopes,Tools and Equipment,,Tools and technology,,Bronchoscopes,1,Tools and technology
Brush chippers,Tools and technology,Tools and technology,Tools and technology,,Brush chippers,0,Tools and technology
Brush cutters,Tools and technology,Tools and technology,Tools and technology,,Brush cutters,0,Tools and technology
Brush trimmers,Tools and technology,Tools and technology,Tools and technology,,Brush trimmers,0,Tools and technology
Bucket trucks,Tools and technology,Tools and technology,Tools and technology,,Bucket trucks,0,Tools and technology
Budgeting,Other,Work activities,Knowledge,,Budgeting,0,Skills
Budgeting software,Tools and technology,Tools and technology,Tools and technology,,Budgeting software,0,Tech - Software
Buffing machines,Tools and technology,Tools and technology,Tools and technology,,Buffing machines,0,Tools and technology
Bugzilla,Tools and technology,Tools and technology,Tools and technology,,Bugzilla,0,Tech - Software
Building automation software,Tools and technology,Tools and technology,Tools and technology,,Building automation software,0,Tech - Software
Building Information Modeling (BIM),Knowledge,Knowledge,Knowledge,,Building Information Modeling (BIM),0,Knowledge
buildingSMART,Other,Work context,Knowledge,Set of principles and guidelines to use in contruction industry established by the international organization 'BuildingSMART',buildingSMART,0,Knowledge
Bulk carriers,Tools and technology,Tools and technology,Tools and technology,,Bulk carriers,0,Tools and technology
Bullhorn,Tools and technology,Tools and technology,Tools and technology,,Bullhorn,0,Tools and technology
Burner management systems,Tools and technology,Tools and technology,Knowledge,,Burner management systems BMS,0,Knowledge
Burs,Tools and technology,Tools and technology,Tools and technology,,Burs,0,Tools and technology
Business accounting software,Tools and technology,Tools and technology,Tools and technology,,Business accounting software,0,Tech - Software
Business Analysis,Knowledge,Knowledge,Knowledge,,Business Analysis,0,Knowledge
Business analysis software,Tools and technology,Tools and technology,Tools and technology,,Business analysis software,0,Tech - Software
Business Development,Knowledge,Knowledge,Knowledge,,Business Development,0,Knowledge
Business Intelligence,Knowledge,Knowledge,Knowledge,,Business Intelligence,0,Knowledge
Business intelligence software,Tools and technology,Tools and technology,Tools and technology,,Business intelligence software,0,Tech - Software
Business management software,Tools and technology,Tools and technology,Tools and technology,,Business management software,0,Tech - Software
Business performance management BPM software,Tools and technology,Tools and technology,Tools and technology,,Business performance management BPM software,0,Tech - Software
Business Planning,Knowledge,Knowledge,Knowledge,,Business Planning,0,Knowledge
Business Process,Knowledge,Knowledge,Knowledge,,Business Process,0,Knowledge
Business process management BPM software,Tools and technology,Tools and technology,Tools and technology,,Business process management BPM software,0,Tech - Software
Business software applications,Tools and technology,Tools and technology,Tools and technology,,Business software applications,0,Tech - Software
Business Strategy,Knowledge,Knowledge,Knowledge,,Business Strategy,0,Knowledge
Business Systems Analysis,Knowledge,Knowledge,Knowledge,,Business Systems Analysis,0,Knowledge
Business-to-Business (B2B),Knowledge,Knowledge,Knowledge,,Business-to-Business (B2B),0,Knowledge
Business-to-Consumer (B2C),Knowledge,Knowledge,Knowledge,,Business-to-Consumer (B2C),0,Knowledge
C shell,Tools and technology,Tools and technology,Tools and technology,,C shell,0,Tech - Software
C#,Tools and technology,Tools and technology,Tools and technology,,C#,0,Tech - Software
C++,Tools and technology,Tools and technology,Tools and technology,,C++,0,Tech - Software
CA SiteMinder,Tools and technology,Tools and technology,Tools and technology,,Computer Associate's CA SiteMinder,0,Tech - Software
Cable cutters,Tools and technology,Tools and technology,Tools and technology,,Cable cutters,0,Tools and technology
Cable plows,Tools and technology,Tools and technology,Tools and technology,,Cable plows,0,Tools and technology
Cable reels,Tools and technology,Tools and technology,Tools and technology,,Cable reels,0,Tools and technology
Cadence OrCAD,Tools and technology,Tools and technology,Tools and technology,,Cadence OrCAD,0,Tech - Software
CADNX,Tools and technology,Tools and technology,Remove,Columbia Strategic Municipal Income Fund - I am thinking this is meant to be knowledge of the fund? It's not really a tool,,0,Remove
Calendar software,Tools and technology,Tools and technology,Tools and technology,,Calendar software,0,Tech - Software
Calibration software,Tools and technology,Tools and technology,Tools and technology,,Calibration software,0,Tech - Software
Calipers,Tools and technology,Tools and technology,Tools and technology,,Calipers,0,Tools and technology
Call center software,Tools and technology,Tools and technology,Tools and technology,,Call center software,0,Tech - Software
Call recording systems,Tools and technology,Tools and technology,Tools and technology,,Call recording systems and software,0,Tech - Software
